Comunidad autónoma de residencia	Concepto turístico	Tipo de dato	Periodo	Total
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2021T2	46,33
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2021T1	39,45
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2020T4	43,43
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2020T3	43,39
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2020T2	58,19
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2020T1	67,75
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2019T4	65,09
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2019T3	64,27
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2019T2	70,33
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2019T1	68,52
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2018T4	61,69
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2018T3	61,08
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2018T2	67,92
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2018T1	61,34
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2017T4	54,75
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2017T3	54,86
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2017T2	62,24
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2017T1	57,41
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2016T4	51,57
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2016T3	50,59
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2016T2	59,89
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2016T1	56,42
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2015T4	52,49
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2015T3	51
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2015T2	53,74
17 Rioja, La	Gasto medio diario por persona	Acumulado en lo que va de año	2015T1	46,56
